controller,disturbance,run,MAP RMSE (mmHg),Unsafe event rate (%),Suction time (%),Backflow duration (%),Speed variation (krpm),Recovery time (s)
Proposed CNN-Transformer,Nominal,1,3.31861458596435,0.8530699134662957,0.11260006412954186,0.16424388502537654,0.24596706284600175,5.43508975595684
Proposed CNN-Transformer,Nominal,2,2.7820386612659886,0.9611781130690806,0.3475617403908491,0.20043019925822497,0.23150577424041383,4.590597856616516
Proposed CNN-Transformer,Nominal,3,3.0370991757010546,0.8222045116007677,0.1470543821261524,0.4129300818370536,0.26588282120376483,5.655076309933138
Proposed CNN-Transformer,Nominal,4,2.4520225321414784,0.9418410736338932,0.3393078621266792,0.34288181747679847,0.29295182230796807,3.3371498195888045
Proposed CNN-Transformer,Nominal,5,2.6556693429798615,0.5904475547057939,0.2240202558705186,0.11351028234453957,0.2759307657328938,5.242694967396269
Proposed CNN-Transformer,Nominal,6,2.711745807138983,0.8738239405612691,0.15356406911953274,0.1571178616647692,0.22057455474644713,2.5
Proposed CNN-Transformer,Nominal,7,2.746750680087016,0.4003486181445538,0.13123617684688552,0.284050047564575,0.22614984958602616,2.6631194565979643
Proposed CNN-Transformer,Nominal,8,3.21531515681827,0.9112249890658763,0.3005287985260748,0.10249763692632971,0.2542188965905365,5.820548099574579
Proposed CNN-Transformer,Nominal,9,3.556394408806107,0.8776001993560041,0.38256041802674273,0.19611085491763972,0.2496997425789731,4.775798949004643
Proposed CNN-Transformer,Nominal,10,2.7281765591459552,0.41639791442380863,0.129745392769976,0.2510947202818825,0.19717451992591176,5.662611137913397
Proposed CNN-Transformer,Nominal,11,2.7402842079764995,0.6689193703927738,0.2574023583560109,0.12812600859447001,0.247771538353084,2.9834120120219207
Proposed CNN-Transformer,Nominal,12,3.2131290916884785,0.8765747710769255,0.2305096338023597,0.23185314611381622,0.245345946074904,5.310562511646749
Proposed CNN-Transformer,Sensor noise,1,3.5699235221113166,0.6663702144148882,0.1711368775624972,0.5747704522705497,0.2022402318280725,5.229289611227852
Proposed CNN-Transformer,Sensor noise,2,3.6441409072696014,1.4589833932056122,0.31406455764583824,0.420194103565936,0.21514068608254913,6.156823932192466
Proposed CNN-Transformer,Sensor noise,3,3.329184647514724,1.334161442053543,0.6816566013384325,0.5963335439055943,0.2314110494026017,5.617330427317655
Proposed CNN-Transformer,Sensor noise,4,3.195555205320799,0.8021334987981961,0.567050817441315,0.3573767601646694,0.3230921525829253,7.966993428357465
Proposed CNN-Transformer,Sensor noise,5,3.2305269318214496,0.8869049932825782,0.40223377814447603,0.5119197622924464,0.2276992505763094,7.288873983375862
Proposed CNN-Transformer,Sensor noise,6,2.317407544879354,0.6105053004899365,0.4661654501814674,0.4546450266843434,0.2468950256525143,4.329193212233592
Proposed CNN-Transformer,Sensor noise,7,3.5087323330066935,1.3099414514882732,0.6669896275981149,0.5785282367291344,0.3052570778856156,5.375757899752697
Proposed CNN-Transformer,Sensor noise,8,3.941186043536439,0.7153651978619869,0.5586103524756282,0.48501419206927443,0.19779904419790617,6.3568625230940015
Proposed CNN-Transformer,Sensor noise,9,3.784083229831865,1.0067093722203657,0.3492507883408443,0.4863714488755744,0.34046961385305735,5.516860952487334
Proposed CNN-Transformer,Sensor noise,10,2.492033155193247,0.539311246677968,0.1660150086330383,0.32404782988399145,0.2423719958797645,5.0688279613059875
Proposed CNN-Transformer,Sensor noise,11,3.7526788232215744,1.0260953997039832,0.1713859259062943,0.3271004803716451,0.3388626376693849,5.25389677439874
Proposed CNN-Transformer,Sensor noise,12,3.9750120591101274,0.6689790761521743,0.33272127139887847,0.18084382908403648,0.3124631686521643,6.51954354559721
Proposed CNN-Transformer,Parameter drift,1,4.969458003965735,1.9484457401261126,0.6264423963789031,0.6197349362745921,0.33183969774412264,8.691347376564186
Proposed CNN-Transformer,Parameter drift,2,3.5113314685492494,1.0793361790235807,0.5014817484898814,0.7148145153455858,0.38371913773315935,5.96890728903324
Proposed CNN-Transformer,Parameter drift,3,3.9306162210361273,1.2473956046082864,0.8541624599792034,0.3076691846502897,0.2167287140083039,9.398512663576867
Proposed CNN-Transformer,Parameter drift,4,3.383312961107556,1.0363497330023517,0.8972932355537315,0.6272320274087725,0.27201828700485153,6.6145487231223665
Proposed CNN-Transformer,Parameter drift,5,3.581285860494044,1.9336209208234478,0.5474895621418817,0.295760295544358,0.35815223268339186,6.493361280248995
Proposed CNN-Transformer,Parameter drift,6,3.522171084195644,2.0532896836503793,0.5372618709874704,0.7497630412439406,0.3120265915755438,7.6465847351598715
Proposed CNN-Transformer,Parameter drift,7,4.376178381741984,0.8096760890069941,0.32201940811532265,0.21285340426092153,0.34011932278315055,5.484527769193568
